44;Касильяс И.;101;12;0;0
72;Фернандес М.;101;12;1;67;0
18;Погба П.;101;12;1;23;1
33;Верратти М.;102;45;0;0
9;Бензема К.;102;45;2;12;45;0
53;Марадона Д.;102;45;1;89;1
29;Рейс М.;103;78;0;0
60;Гуллит Р.;103;78;1;78;1
1;Акинфеев И.;103;78;0;0
77;Соболев А.;104;23;3;15;34;90;0
25;Кейн Х.;104;23;2;8;72;1
41;Иньеста А.;104;23;0;0
13;Куртуа Т.;105;67;0;0
57;Кака;105;67;1;44;0
21;Канте Н.;105;67;0;1
69;Головин А.;106;89;2;18;63;0
37;Гризманн А.;106;89;1;55;1
5;Месси Л.;106;89;3;10;33;81;0
49;Тони Л.;107;34;2;22;70;0
65;Буффон Д.;107;34;0;0
31;Обамеянг П.;107;34;1;90;1
80;Венгер С.;108;56;0;0
15;Салах М.;108;56;2;5;88;0
46;Рибери Ф.;108;56;1;41;1
63;Неста А.;109;92;0;0
76;Миранчук А.;109;92;1;29;0
40;Торрес Ф.;109;92;2;14;76;1
55;Зидан З.;110;4;1;87;0
2;Алвес Д.;110;4;0;1
70;Черышев Д.;110;4;2;23;59;0
35;Киммих Й.;111;51;0;0
50;Клозе М.;111;51;3;11;34;67;0
6;Рамос С.;111;51;1;45;1
23;Мбаппе К.;112;38;2;19;82;0
54;Пеле;112;38;1;73;0
12;Модрич Л.;112;38;0;1
67;Дзюба А.;113;77;2;8;55;0
28;Бруну Фернандеш;113;77;1;90;1
79;Ларссон Й.;113;77;0;0
48;Лам Ф.;114;19;0;0
32;Лукаку Р.;114;19;2;31;64;0
8;Халанд Э.;114;19;3;5;42;78;0
61;Баджо Р.;115;83;1;47;1
16;Агуэро С.;115;83;2;25;60;0
39;Жоржиньо;115;83;0;1
71;Смолов Ф.;116;95;1;33;0
20;Ди Мария А.;116;95;1;72;1
47;Швайнштайгер Б.;116;95;0;0
3;Ван Дейк В.;117;29;0;1
74;Сафонов М.;117;29;0;0
24;Ибрагимович З.;117;29;2;15;88;0
58;Шевченко А.;118;62;1;44;0
10;Роналду К.;118;62;3;7;29;81;1
42;Хави;118;62;0;0
64;Канаваро Ф.;119;48;0;0
34;Дибалла П.;119;48;2;13;67;0
59;Стоичков Х.;119;48;1;90;1
11;Мане С.;120;73;2;22;49;0
27;Санчо Дж.;120;73;0;1
78;Бакаев З.;120;73;1;58;0
66;Нойер М.;121;14;0;0
30;Азар Э.;121;14;1;36;1
62;Мальдини П.;121;14;0;0
36;Мюллер Т.;122;86;2;19;77;0
73;Марио Фернандес;122;86;0;0
56;Роналдо Р.;122;86;1;64;1
45;Роббен А.;123;41;2;28;82;0
38;Фирмино Р.;123;41;1;55;0
51;Мюллер Г.;123;41;3;12;34;68;0
19;Левандовски Р.;124;99;2;7;53;1
26;Златан И.;124;99;1;90;0
17;Де Брюйне К.;124;99;0;1
7;Неймар Ж.;125;3;2;15;71;0
22;Стерлинг Р.;125;3;1;44;0
43;Пуйоль К.;125;3;0;1
52;Беккенбауэр Ф.;126;54;0;0
