# name , nick, diet, weight of diet, age
# На 14.03.26 тут  87 существ и сломанная сортировка
Человек, Олег, мясо, 3.2, 27
Кот, Усы, рыба, 0.5, 2
Собака, Дружок, корм, 1.0, 5
Слон, Джамбо, трава, 150.0, 25
Лев, Лео, мясо, 10.0, 8
Тигр, Полоска, мясо, 9.5, 6
Волк, Клык, мясо, 4.5, 4
Волк, Серый, мясо, 4.5, 7
Гиена, Смех, мясо, 6.0, 7
Гиена, Хохот, мясо, 6.0, 9
Гепард, Быстрый, мясо, 5.0, 6
Гепард, Сверк, мясо, 5.0, 8
Леопард, Пятно, мясо, 4.5, 8
Леопард, Тень, мясо, 4.5, 10
Пантера, Полночь, мясо, 5.2, 9
Пантера, Чёрный, мясо, 5.2, 11
Медведь, Балу, ягоды, 5.0, 15
Лиса, Рыжий, мыши, 0.3, 3
Кролик, Топот, морковь, 0.2, 1
Кенгуру, Прыгун, трава, 1.5, 6
Пингвин, Тукс, рыба, 2.0, 4
Сова, Ух, мыши, 0.2, 10
Орёл, Коготь, рыба, 3.0, 5
Змея, Скользкий, мыши, 0.4, 2
Черепаха, Раковина, листья, 0.1, 80
Лягушка, Ква, мухи, 0.05, 1
Дельфин, Плавник, рыба, 5.0, 12
Кит, Большойголубой, криль, 1000.0, 40
Акула, Челюсть, рыба, 200.0, 20
Попугай, Полли, зерно, 0.1, 25
Воробей, Чирик, зерно, 0.05, 2
Ястреб, Небо, кролики, 2.0, 6
Лось, Рога, листья, 30.0, 10
Лось, Валден, листья, 25.0, 9
Олень, Бэмби, трава, 5.0, 4
Коза, Билли, сено, 2.0, 3
Овца, Войлок, сено, 3.0, 5
Корова, Ромашка, трава, 50.0, 7
Свинья, Порки, свинячий корм, 10.0, 2
Курица, Кудах, зерно, 0.2, 1
Петух, Кукарек, зерно, 0.3, 2
Индюк, Том, зерно, 1.0, 3
Утка, Кряк, кукуруза, 0.5, 2
Гусь, Гогот, зерно, 0.6, 4
Павлин, Шик, зерно, 0.4, 6
Лебедь, Грация, растительность, 1.0, 5
Фламинго, Розовый, креветки, 0.2, 4
Пеликан, Клювик, рыба, 1.5, 3
Краб, Щип, водоросли, 0.05, 1
Лобстер, Клешня, планктон, 0.1, 6
Осьминог, Чернила, рыба, 1.0, 3
Тюлень, Мягкий, рыба, 5.0, 8
Морж, Бивни, моллюски, 10.0, 20
Ламантин, Нежный, морская трава, 15.0, 25
Бегемот, Бегемот, трава, 40.0, 30
Носорог, Носорог, трава, 50.0, 35
Горилла, Король, бананы, 5.0, 20
Шимпанзе, Ласковый, фрукты, 3.0, 15
Орангутан, Качели, фрукты, 4.0, 18
Лемур, Кольцо, фрукты, 0.5, 5
Программист на C, Луценко, Водка и Студенты, 10000, 3000
Сурикат, Гибкий, насекомые, 0.1, 3
Ленивец, Медленный, листья, 0.5, 12
Броненосец, Кат, насекомые, 0.2, 4
Муравьед, Бек, муравьи, 0.3, 5
Дикобраз, Игла, растения, 0.4, 6
Скунс, Вонь, насекомые, 0.1, 3
Барсук, Полоска, корни, 0.3, 5
Бобр, Строитель, дерево, 2.0, 8
Выдра, Скользкий, рыба, 1.0, 4
Енот, Бандит, ягоды, 0.5, 3
Хойщик, Эрик Шрэкс, Пельмени, 1000, 18
Человек, Аскар, мясо, 0.5, 19
Человек, Юнус, вода, 1.0, 19
Белка, Ореховый, орехи, 0.1, 2
Лама, Плевок, трава, 5.0, 6
Альпака, Пушок, сено, 3.0, 5
Верблюд, Горб, сено, 20.0, 10
Осёл, Иа, сено, 15.0, 8
Мул, Гибрид, сено, 17.0, 7
Коала, Обнимашка, эвкалипт, 0.8, 6
Валлаби, Сумка, трава, 1.0, 3
Зубр, Мос, трава, 60.0, 12
Орёл, Царь, meat, 5.0, 5
Акула, Артём, мясо, 100.0, 3000
Угорь, Марат, что-то, 1, 2
Человек, Амир, Сырки, 18, 10
